Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
210094,2021,12/15/2021,Madison,90 SANDELWOOD DR,208000,410000,0.5073,Residential,Single Family,,,,POINT (-72.629793003 41.284131017)
210678,2021,05/17/2022,Fairfield,856 MILL HILL TERRACE,568330,600000,0.9472,Residential,Single Family,07 - Change in Property,LOT LINE REVISIONS-SURVEY MAP,,POINT (-73.285950009 41.145139994)
21031,2021,10/20/2021,Monroe,142 PEPPER ST,150400,350000,0.4297,Residential,Single Family,,,,POINT (-73.253295959 41.325024018)
211345,2021,09/16/2022,Bristol,9 SUSAN LN,143010,305000,0.4688,Residential,Single Family,,,,POINT (-72.97655502 41.688805992)
2100390,2021,05-02-2022,Naugatuck,10 CARRIAGE DRIVE,124860,285000,0.4381,Residential,Single Family,,,,POINT (-73.031667039 41.477255012)
210977,2021,02/17/2022,Bridgeport,155 BREWSTER ST #5M,174390,360500,0.483744799,Residential,Condo,11 - Court Order,,,POINT (-73.219648988 41.153741)
210851,2021,05-10-2022,Bristol,"181 SHERBROOK ST., #30",67900,155000,0.438,Residential,Condo,,,,POINT (-72.951564962 41.656907989)
210009,2021,10-04-2021,Glastonbury,21 HUBBARD RUN DR,114000,230000,0.4956,Residential,Condo,,,,POINT (-72.598290962 41.705826997)
210154,2021,11/23/2021,Middletown,1241 WASHINGTON ST #15,58570,116000,0.5049,Residential,Condo,,,,POINT (-72.692504306 41.549582141)
210456,2021,12/30/2021,Danbury,47 DEER HILL AV,259700,583000,0.4454,Residential,Single Family,,I16182,,POINT (-73.448425994 41.38378799)
210554,2021,02/22/2022,New Britain,205 BIRCHWOOD DR,217840,395000,0.5514,Residential,Single Family,,,,POINT (-72.812104008 41.654475979)
211265,2021,03/31/2022,Bridgeport,361 NICHOLS ST,181637,400000,0.454,Residential,Single Family,,,,POINT (-73.178489987 41.179889017)
2100123,2021,01/24/2022,Madison,139 WILDWOOD AVE,195400,363000,0.5382,Residential,Single Family,01 - Family,family sale,,POINT (-72.635221962 41.294190013)
210748,2021,01/14/2022,Bridgeport,360 VINCELLETTE ST,160776,315000,0.5104,Residential,Single Family,,,,POINT (-73.219385964 41.215379001)
211726,2021,06/13/2022,Bridgeport,56 PARK TER #58,168480,376000,0.448085106,Residential,Three Family,,,,POINT (-73.19445701 41.16770898)
211570,2021,05/16/2022,Bridgeport,674 BURNSFORD AVE,143970,290000,0.4964,Residential,Single Family,,,,POINT (-73.22012399 41.206114987)
2100199,2021,12-06-2021,Naugatuck,1221-1247 NEW HAVEN RD,1229830,1100000,1.118,Industrial,,24 - Plottage,COMBINED ON ONE DEED AND ONE SALES PRICE /  COMBINED ASSESSMENTS,,POINT (-73.020004962 41.467463021)
2100664,2021,09/15/2022,Naugatuck,215 EAST WATERBURY RD,123660,275000,0.4496,Residential,Single Family,,,,POINT (-73.028178994 41.509522992)
21010,2021,11-04-2021,Durham,67 OLD FARMS RD,211260,410000,0.515268293,Residential,Single Family,14 - Foreclosure,GRANTOR IS FANNIE MAE,,POINT (-72.710736037 41.433974007)
21203,2021,04/19/2022,Darien,599 MIDDLESEX ROAD,2309860,2062500,1.1199,Residential,Single Family,08 - Part Interest,,,POINT (-73.483176023 41.100568008)
210417,2021,01-12-2022,New Britain,181 FAIRWAY DR,88002,225000,0.3911,Residential,Single Family,,,,POINT (-72.767814031 41.699582982)
210434,2021,09-09-2022,Killingly,1108 NORTH RD,221970,565000,0.3928,Residential,Single Family,,,,POINT (-71.814140031 41.856052997)
2100427,2021,05/18/2022,Naugatuck,86 WOODLAND STREET,89160,185000,0.4819,Residential,Single Family,,,,POINT (-73.046226992 41.484996998)
210081,2021,01-12-2022,Coventry,24 WALNUT TR,99600,195000,0.5107,Residential,Single Family,,,,POINT (-72.313112967 41.764763008)
211640,2021,05/31/2022,Bridgeport,975 THORME ST,157990,430000,0.367418605,Residential,Single Family,07 - Change in Property,,PER MLS HOUSE HAS 2.5 BATHS AND FINISHED BASEMENT NOT ON FIELD CARD,POINT (-73.222211 41.202594)
210312,2021,04-05-2022,Glastonbury,1662 NEW LONDON TPKE,173200,370000,0.4681,Residential,Single Family,,,,POINT (-72.565928014 41.690855996)
210316,2021,07-05-2022,Avon,187 WEST AVON ROAD,278710,500000,0.5574,Residential,Single Family,24 - Plottage,,,POINT (-72.86322096 41.805310003)
210535,2021,02/16/2022,New Britain,160-F BRITTANY FARMS,96040,209000,0.4595,Residential,Condo,,,,POINT (-72.774583005 41.709980984)
211267,2021,03/31/2022,Bridgeport,72 TOM THUMB ST #78,214520,315000,0.681,Residential,Two Family,,,,POINT (-73.19880596 41.191954013)
210069,2021,10/18/2021,Danbury,43 BARNUM RD,296500,560000,0.5294,Residential,Single Family,,F05026,,POINT (-73.480563971 41.44079499)
210018,2021,10/20/2021,New Fairfield,4 COTTON TAIL RD,589500,1100000,0.535909091,Commercial,,,,,POINT (-73.482273963 41.466220991)
211344,2021,08-04-2022,Danbury,12-16 SCUPPO RD C-7,69400,175000,0.3965,Residential,Condo,,F14098-7,,POINT (-73.479456973 41.390724979)
210004,2021,10-04-2021,New Fairfield,104 LAKE DR S,645700,1600000,0.4035,Residential,Single Family,,,,POINT (-73.450292979 41.469866993)
210208,2021,11/26/2021,Hamden,36 WINDSOR RD,155260,213144,0.7284,Residential,Single Family,01 - Family,FAMILY SALE,,POINT (-72.898338033 41.340872981)
210352,2021,08-03-2022,Ledyard,770 COLONEL LEDYARD HWY,124530,215000,0.5792,Residential,Single Family,,,,POINT (-72.017771998 41.446251986)
21274,2021,03/31/2022,Farmington,1431 FARMINGTON AV,102040,120000,0.850333333,Residential,Condo,07 - Change in Property,CHANGE AFTER SALE,,POINT (-72.862532233 41.745169159)
2100650,2021,09-07-2022,Naugatuck,156 WILDWOOD CIR,145620,370000,0.3935,Residential,Single Family,,,,POINT (-73.086118984 41.503336016)
210414,2021,02/16/2022,Fairfield,823 OLDFIELD ROAD,352590,655000,0.5383,Residential,Single Family,,,,POINT (-73.264723007 41.133467984)
210209,2021,11-01-2021,Bridgeport,76 SPRINGDALE ST,154730,249000,0.6214,Residential,Single Family,,,,POINT (-73.203571994 41.20669602)
210705,2021,05/24/2022,Fairfield,713 STURGES ROAD,533750,1175000,0.4542,Residential,Single Family,07 - Change in Property,UPDATES & UPGRADES,,POINT (-73.273588965 41.152471016)
21049,2021,10/25/2021,Farmington,1658-5 FARMINGTON AV,64900,100000,0.649,Residential,Condo,,,,POINT (-72.874033029 41.75305198)
210976,2021,02/17/2022,Bridgeport,218 MOUNTAIN GROVE RD #220,185370,267000,0.694269663,Residential,Two Family,,,,POINT (-73.21426504 41.170536993)
210054,2021,12/22/2021,Canton,5 THE GREEN,267430,700000,0.382,Residential,Single Family,,,,POINT (-72.921729715 41.810629758)
2121237,2021,05/24/2022,Ansonia,23 CRESTWOOD RD,105000,235000,0.4468,Residential,Single Family,,,,POINT (-73.062346984 41.326529994)
210197,2021,10/28/2021,Bridgeport,260 RIDGEFIELD AVE,141490,260000,0.5441,Residential,Single Family,,,,POINT (-73.163859962 41.190345986)
210332,2021,08/16/2022,Cromwell,23 BLUESTEM BLVD,0,689925,0,Residential,Condo,07 - Change in Property,NEW CONST,,POINT (-72.6535 41.61653)
210532,2021,07/26/2022,Branford,17 LAKEVIEW DR,160000,270000,0.5925,Residential,Condo,,,,POINT (-72.858013032 41.276506)
21217,2021,04/28/2022,Darien,17 TOKENEKE ROAD,629440,1140000,0.5521,Commercial,,,,,POINT (-73.469979974 41.076820987)
210181,2021,05/20/2022,Derby,LOMBARDI DR,55090,65000,0.8475,Vacant Land,,15 - Government Agency,,,POINT (-73.066111651 41.313614255)
21063,2021,11/16/2021,Monroe,39 DOWNS RD,269500,520000,0.5182,Residential,Single Family,,,,POINT (-73.185891962 41.384042004)
210207,2021,01/18/2022,Glastonbury,20 HUBBARD RUN DR,133000,251000,0.5298,Residential,Condo,,,,POINT (-72.598241005 41.705977997)
210292,2021,12-10-2021,Bristol,155 REDSTONE HILL RD UN 24,68810,130000,0.5293,Residential,Condo,,,,POINT (-72.908835026 41.659368999)
210469,2021,01/25/2022,Bristol,32 CASE ST,106330,222500,0.4778,Residential,Single Family,,,,POINT (-72.92958602 41.69409799)
21073,2021,11/14/2021,Guilford,5 MADAKET CT,84310,218500,0.3858,Residential,Condo,,,,POINT (-72.694730038 41.397908983)
210039,2021,10/25/2021,Branford,90 RED HILL RD,262500,427500,0.614,Residential,Single Family,,,,POINT (-72.752649995 41.292164988)
21108,2021,12-08-2021,Guilford,228 SO UNION ST,173660,320000,0.5426,Residential,Single Family,,,,POINT (-72.671543012 41.284036008)
2100298,2021,03-03-2022,Naugatuck,108 CLARK ROAD #68,14220,2000,7.11,Residential,Single Family,26 - Rehabilitation Deferred,MOBILE HOME,,POINT (-73.005345013 41.470044018)
210040,2021,10-12-2021,Danbury,160 SHELTER ROCK RD 5,114000,263000,0.4334,Residential,Condo,,M14002-5,,POINT (-73.412475005 41.394514982)
210553,2021,04-07-2022,Fairfield,15 BROOKFIELD AVENUE,328510,540000,0.6083,Residential,Single Family,,,,POINT (-73.222459021 41.178731016)
2100114,2021,01/31/2022,East Hampton,41 DAY POINT RD,488680,795000,0.6146,Residential,Single Family,,,,POINT (-72.496623002 41.587541998)
2100120,2021,08/30/2022,Marlborough,42 RHONDA WAY,84550,125000,0.6764,Vacant Land,,,,,POINT (-72.45984 41.63149)
210135,2021,04/13/2022,Coventry,ROSS AVE,1900,5300,0.3584,Vacant Land,,24 - Plottage,"43-1/52, NEIGHBOR SOLE MEMBER OF GRANTEE",,POINT (-72.326453617 41.766655495)
211658,2021,06-01-2022,Bridgeport,70 HERKIMER ST,180490,440000,0.4102,Residential,Two Family,,,,POINT (-73.206542038 41.186149)
210273,2021,08/22/2022,Mansfield,11 GRANDVIEW CIR,35700,80000,0.4462,Residential,Single Family,,SUN ROLLING HILLS MH PARK 55+,,POINT (-72.274376001 41.821160015)
210165,2021,12/21/2021,Branford,4 FLAX MILL HOLLOW,247300,499900,0.4946,Residential,Single Family,,PUD,,POINT (-72.779278966 41.305967007)
211128,2021,08-09-2022,Hamden,31 FAWN RIDGE DR,141400,312000,0.4532,Residential,Single Family,14 - Foreclosure,BANK SALE,,POINT (-72.959775037 41.349735)
210616,2021,12/22/2021,Bridgeport,3250 FAIRFIELD AVE UNIT #309,113340,280000,0.4047,Residential,Condo,,,,POINT (-73.233418024 41.156224013)
21063,2021,11/16/2021,Bethel,16 LOCKWOOD CIRCLE,342370,573500,0.596983435,Residential,Condo,10 - A Will,ESTATE SALE,,POINT (-73.412065969 41.386563993)
210190,2021,04-12-2022,Cromwell,1221 CROMWELL HILLS DRIVE,60270,135000,0.4464,Residential,Condo,,,,POINT (-72.67809196 41.607988016)
21062,2021,02/24/2022,Haddam,637 KILLINGWORTH RD,151720,389000,0.390025707,Residential,Single Family,,,,POINT (-72.555388022 41.454146021)
21394,2021,08/15/2022,Darien,55 HOLLY LANE,938070,1810000,0.5182,Residential,Single Family,,,,POINT (-73.493898992 41.082111979)
210073,2021,04-07-2022,Easton,60 FIELDSTONE DRIVE,629440,900000,0.6993,Residential,Single Family,,,,POINT (-73.277653015 41.30716302)
211056,2021,07/26/2022,Hamden,151 THORNTON ST,173390,341000,0.5084,Residential,Single Family,,,,POINT (-72.913725028 41.366671012)
210259,2021,06-03-2022,Cromwell,18 WEST STREET TERRACE,68810,300000,0.2293,Vacant Land,,25 - Other,MULTI PROP,,POINT (-72.659598444 41.604748304)
21000270,2021,04/18/2022,Cheshire,150 BRADFORD RD,152730,317500,0.481,Residential,Single Family,,,,POINT (-72.912288035 41.459416981)
210023,2021,10/26/2021,Canton,134 GRACEY ROAD,222220,475000,0.4678,Residential,Single Family,,,,POINT (-72.88374799 41.845668993)
21150,2021,08/22/2022,Haddam,57 MORRIS RD,166660,375000,0.4444,Residential,Single Family,,,,POINT (-72.552127965 41.466209004)
21347,2021,07/18/2022,Darien,6 BISHOPS GATE,1498350,2725000,0.5498,Residential,Single Family,,,,POINT (-73.493819029 41.060279008)
210681,2021,09/22/2022,Glastonbury,117 CAMBRIDGE DR,179300,320000,0.5603,Residential,Single Family,,,,POINT (-72.57090896 41.72858202)
21000215,2021,03-01-2022,Cheshire,43 BRADFORD DR,143930,285000,0.505,Residential,Single Family,,,,POINT (-72.909341041 41.46060302)
210193,2021,04/14/2022,Cromwell,45 COLES ROAD,150850,351000,0.4297,Residential,Single Family,,,,POINT (-72.697062973 41.608390013)
210871,2021,06/14/2022,Hamden,130 VERNON ST,151620,400000,0.379,Residential,Single Family,,,,POINT (-72.904002021 41.389691993)
211225,2021,08/17/2022,Bristol,391 FALL MOUNTAIN RD,93030,200000,0.4651,Residential,Single Family,,,,POINT (-72.982245997 41.659852006)
2100266,2021,08/17/2022,New Fairfield,3 DARIEN RD,185200,220000,0.8418,Residential,Single Family,,,,POINT (-73.533706997 41.463068012)
210030,2021,11-01-2021,Ellington,1 MAPLE ST 8,81330,140000,0.5809,Residential,Condo,,,,POINT (-72.457556963 41.909676013)
21206,2021,09-06-2022,Burlington,32 NELSON DR,230860,525000,0.4397,Residential,Single Family,,,,POINT (-72.907023026 41.751237005)
2100101,2021,07-01-2022,Marlborough,102 NO MAIN ST,294490,625000,0.4711,Residential,Single Family,,,,POINT (-72.468064014 41.633989979)
210156,2021,02/28/2022,Cromwell,114 WOODLAND DRIVE,55440,130000,0.4264,Residential,Condo,,,,POINT (-72.678233028 41.613901994)
210056,2021,11-08-2021,Killingly,45 DYER ST,92750,135000,0.687,Residential,Single Family,,,,POINT (-71.884854041 41.799048009)
210649,2021,09-07-2022,Glastonbury,125 BELLRIDGE RD,217100,610000,0.3559,Residential,Single Family,,,,POINT (-72.554489985 41.729530013)
211828,2021,06/14/2022,Bridgeport,493 BROOKS ST #495,138520,400000,0.3463,Residential,Two Family,,(OUT OF SEQUENCE),,POINT (-73.17957997 41.192861982)
210011,2021,11-04-2021,Bethlehem,558 CARMEL HILL RD N,188300,465000,0.4049,Residential,Single Family,,,,POINT (-73.251642041 41.655259981)
210067,2021,10/19/2021,Fairfield,388 KNAPPS HIGHWAY,317730,445000,0.714,Residential,Two Family,,,,POINT (-73.235521965 41.181915007)
210187,2021,09/13/2022,Essex,9 BROOKSIDE LN,141100,2500,56.44,Residential,Single Family,19 - Easement,,,POINT (-72.40682298 41.355000009)
210266,2021,06-06-2022,Avon,2 YORKSHIRE LANE,177730,240000,0.7405,Residential,Single Family,,,,POINT (-72.891430004 41.781051015)
21092,2021,05-06-2022,Haddam,25 CHRISTIAN HILL RD,159100,355000,0.448169014,Residential,Single Family,,,,POINT (-72.565194011 41.496960992)
211853,2021,07-07-2022,Bridgeport,131 KENNEDY DR UNIT #131,70850,150000,0.4723,Residential,Condo,,,,POINT (-73.22247503 41.214785018)
212161,2021,09-01-2022,Bridgeport,320 OAKWOOD ST,137270,230000,0.5968,Residential,Single Family,,,,POINT (-73.200468008 41.209402998)
210224,2021,05-03-2022,Ledyard,657 COLONEL LEDYARD HWY,156450,300000,0.5215,Residential,Single Family,,,,POINT (-72.003839012 41.438958012)
210035,2021,11-01-2021,Bloomfield,1079 BLUE HILLS AVE,35980,65000,0.5535,Residential,Condo,,,,POINT (-72.696814835 41.826660663)
21458,2021,07/18/2022,Farmington,6 CHILTERN STREET,268420,505000,0.5315,Residential,Single Family,,,,POINT (-72.832439008 41.75256298)
2100562,2021,08-01-2022,Naugatuck,41 RAYTKWICH ROAD,327220,435000,0.7522,Industrial,,15 - Government Agency,,,POINT (-73.020578033 41.511356994)
218455,2021,09-09-2022,Middletown,6 TROLLEY CROSSING LA,88940,141000,0.630780142,Residential,Condo,,,,POINT (-72.697873279 41.598312953)
21429,2021,07-01-2022,Farmington,23 TUNXIS VILLAGE,140720,221000,0.6367,Residential,Condo,,,,POINT (-72.830516786 41.745366862)
210795,2021,01/20/2022,Bridgeport,1081 NOBLE AVE #1083,182356,317000,0.5752,Residential,Two Family,,,,POINT (-73.183752644 41.196267586)
21000464,2021,08/15/2022,Cheshire,371 E MITCHELL AVE,42590,101000,0.4216,Residential,Condo,,,,POINT (-72.897227012 41.504082005)
21108,2021,12/30/2021,Darien,20 HOPE DRIVE,1728160,3230000,0.535,Residential,Single Family,,,,POINT (-73.460369033 41.066779006)
218105,2021,04/25/2022,Middletown,116 RISING TRAIL DR,77400,195000,0.3969,Residential,Condo,,,,POINT (-72.70146023 41.596284731)
210054,2021,12-01-2021,Mansfield,9 THORNBUSH RD EXT,110400,206000,0.5359,Residential,Single Family,,,,POINT (-72.251332976 41.730533997)
21490,2021,08-01-2022,Farmington,3 BRIARWOOD ROAD,167300,372000,0.4497,Residential,Single Family,,,,POINT (-72.862133995 41.746566986)
210260,2021,09-02-2022,Coventry,332 RICHMOND RD,102600,300000,0.342,Residential,Single Family,,,,POINT (-72.328703977 41.797331018)
21067,2021,04/25/2022,Lebanon,241 LEBANON AVE,153820,385000,0.3995,Residential,Single Family,,,,POINT (-72.28079897 41.602670998)
210355,2021,08/31/2022,Berlin,728 LOWER LN,151900,345000,0.4402,Residential,Single Family,,,,POINT (-72.754194025 41.609373)
21176,2021,01-11-2022,Farmington,72 WELLINGTON DR,79470,137000,0.58,Residential,Condo,,,,POINT (-72.840626718 41.711503499)
210358,2021,08-04-2022,Ledyard,54 SPICER HILL RD,52360,65000,0.8055,Vacant Land,,25 - Other,ABUTTING OWNER,,POINT (-72.01029366 41.455373208)
210512,2021,01/18/2022,Danbury,75 MIDDLE RIVER RD,229200,480000,0.4775,Residential,Two Family,,SFR W/ ACCESSORY APT / D11004,,POINT (-73.501811006 41.410103017)
210236,2021,05-04-2022,Bloomfield,11 SOUTHWOOD DRIVE,662550,2250000,0.2944,Industrial,,25 - Other,PURCHASED BY TENANT,,POINT (-72.708680962 41.851075991)
21189,2021,08-10-2022,Burlington,102 TAINE MOUNTAIN RD,298450,615000,0.4852,Residential,Single Family,,,,POINT (-72.915066971 41.767368983)
210092,2021,12/14/2021,Avon,872 WEST AVON ROAD,208900,236000,0.8851,Residential,Single Family,07 - Change in Property,,,POINT (-72.869371014 41.764532003)
210242,2021,07/27/2022,Clinton,87 LIBERTY ST,159900,270000,0.5922,Residential,Single Family,,,,POINT (-72.518164996 41.285992009)
210030,2021,10-07-2021,Danbury,12-16 SCUPPO RD I-46,68600,175000,0.392,Residential,Condo,,F14098-46,,POINT (-73.479456973 41.390724979)
210078,2021,07/29/2022,Bolton,28 WATROUS RD,122400,246000,0.4975,Residential,Single Family,,,,POINT (-72.417653991 41.770582018)
210331,2021,04/19/2022,Glastonbury,182 CONESTOGA WAY,120700,210000,0.5747,Residential,Condo,,,,POINT (-72.574756002 41.694483013)
21028,2021,12/14/2021,Deep River,53 WITCH HAZEL DR,275450,500000,0.5509,Residential,Single Family,,,,POINT (-72.493210926 41.351500364)
211050,2021,03-02-2022,Bridgeport,80 TESINY AVE,334980,275000,1.2181,Residential,Single Family,14 - Foreclosure,,,POINT (-73.206187986 41.215492995)
210010,2021,10-04-2021,Hamden,179 CIRCULAR AVE,109970,285000,0.385859649,Residential,Single Family,,,,POINT (-72.935332988 41.351142992)
210679,2021,02/28/2022,Danbury,34A PADANARAM RD 107,65600,167500,0.3916,Residential,Condo,,H10080-7,,POINT (-73.461022989 41.415225995)
21055,2021,12/20/2021,East Haddam,535 MT PARNASSUS RD,139100,275000,0.5058,Residential,Single Family,,,,POINT (-72.374446035 41.481945986)
210291,2021,09/13/2022,Mansfield,29D EASTBROOK HGHTS,80400,149900,0.5363,Residential,Condo,,,,POINT (-72.20608696 41.735163993)
218193,2021,05/31/2022,Middletown,91 SPRING ST,133620,326000,0.409877301,Residential,Two Family,07 - Change in Property,,TOTAL RENOVATION PER MLS,POINT (-72.657367034 41.566187004)
210605,2021,04-05-2022,Hamden,10 WILLARD ST,156030,230000,0.6783,Residential,Single Family,,,,POINT (-72.89720304 41.389292009)
210025,2021,11-08-2021,Mansfield,249 WOODLAND RD,155200,250000,0.6208,Residential,Single Family,,,,POINT (-72.203693004 41.817585007)
210180,2021,06-03-2022,Coventry,45 HICKORY DR,91700,205000,0.4473,Residential,Single Family,,,,POINT (-72.319840031 41.763549015)
21198,2021,04/13/2022,Darien,85 HECKER AVE,343070,632000,0.5428,Residential,Single Family,,,,POINT (-73.485464032 41.069499017)
210267,2021,03-03-2022,Glastonbury,80 ADDISON RD,146200,368000,0.3972,Residential,Single Family,,,,POINT (-72.577294965 41.71936201)
218433,2021,08-11-2022,Middletown,17 ALSOP AVE,95300,275000,0.3465,Residential,Two Family,,,,POINT (-72.65020101 41.563644983)
210348,2021,04/29/2022,Glastonbury,11 WILLOW GREEN WAY,163300,305000,0.5354,Residential,Condo,,,,POINT (-72.610192007 41.704991991)
210073,2021,12/16/2021,Clinton,11 NOD PL,384800,320546,1.2004,Commercial,,25 - Other,NOT ON OPEN MARKET,,POINT (-72.551777015 41.286734981)
21000003,2021,10/18/2021,Colebrook,2 HANNAFIN ROAD,249400,405000,0.6158,Residential,Single Family,,,,POINT (-73.108765964 41.961978)
210010,2021,10-06-2021,Avon,61 STRATFORD CROSSING,489250,180000,2.718,Residential,Single Family,07 - Change in Property,,,POINT (-72.875685733 41.775540623)
211301,2021,07/26/2022,Danbury,6 ROSE LA 1-4,73300,170000,0.4311,Residential,Condo,,I09212-4,,POINT (-73.45660296 41.417773003)
210817,2021,04-04-2022,Danbury,21 DEER PARK RD,409500,900000,0.455,Residential,Single Family,,B08022,,POINT (-73.524200997 41.42792021)
21571,2021,09/19/2022,Farmington,22 SONGBIRD LA II,157950,345000,0.4578,Residential,Condo,,,,POINT (-72.892575529 41.698426431)
210072,2021,11/24/2021,Ledyard,17 QUAKERTOWN MEADOWS,63210,430000,0.147,Residential,Single Family,07 - Change in Property,NEW CONSTRUCTION,,POINT (-72.00424 41.4101)
21090,2021,06/13/2022,Lebanon,511 TOBACCO ST,175810,400000,0.4395,Residential,Single Family,,,,POINT (-72.284846004 41.66050898)
21000089,2021,02-10-2022,Granby,267 WEST GRANBY RD,118020,139000,0.849,Residential,Single Family,26 - Rehabilitation Deferred,DEFERRED MAINTENANCE,,POINT (-72.840066037 41.956098011)
210180,2021,08/26/2022,Essex,6 CEDAR GROVE TERR,203600,335000,0.6077,Residential,Single Family,,,,POINT (-72.391450988 41.340045981)
210240,2021,02-07-2022,Branford,18 HOWD AVE,172600,350000,0.493142857,Residential,Single Family,12 - Non Buildable Lot,NOT ON MARKET/OWNS NEXT DOOR,,POINT (-72.753085016 41.272710004)
210595,2021,04-04-2022,Hamden,200 TOWNE HOUSE RD U200,46690,88000,0.530568182,Residential,Condo,,,,POINT (-72.924422013 41.376322983)
210166,2021,11/15/2021,Hamden,140 FALLON DR,126350,280000,0.4512,Residential,Single Family,,,,POINT (-72.944920963 41.361645014)
21353,2021,07/20/2022,Darien,2 TANGLEWOOD TRAIL,1507310,3425000,0.44,Residential,Single Family,,,,POINT (-73.477699958 41.080237995)
21095,2021,02/18/2022,East Haddam,40 WARNER RD,195070,300000,0.6502,Residential,Single Family,,,,POINT (-72.377969032 41.468872983)
211187,2021,08-08-2022,Bristol,120 ARLINGTON ST,84280,150000,0.5618,Residential,Single Family,,,,POINT (-72.938913988 41.692090985)
210947,2021,02-11-2022,Bridgeport,88 GLENDALE AVE,70570,175000,0.403257143,Residential,Condo,,,,POINT (-73.213896513 41.214070885)
210054,2021,11-01-2021,Branford,147 WATCH HILL RD,110400,176000,0.6272,Residential,Condo,,,,POINT (-72.82853698 41.303644004)
210126,2021,01/18/2022,Killingly,101 SOAP ST,134470,317000,0.4241,Residential,Single Family,,,,POINT (-71.883925997 41.85208601)
210737,2021,05/13/2022,Hamden,75 WASHINGTON AVE 4-303,55300,82500,0.6703,Residential,Condo,,,,POINT (-72.897347041 41.38480702)
210003,2021,10-12-2021,Middlefield,14 SYLVAN RDG,160500,205000,0.782926829,Residential,Condo,25 - Other,NOT ON THE OPEN MARKET PRIVATE SALE,,POINT (-72.697785996 41.54575402)
211059,2021,06-02-2022,Danbury,23 FOSTER ST,138500,470000,0.2946,Residential,Two Family,,I14123,,POINT (-73.451757968 41.391629009)
210081,2021,10/25/2021,New Britain,44 BURRITT ST,420490,4000000,0.1051225,Commercial,,22 - Money and Personal Property,,CAR WASH - INCLUDES PERSONAL PROPERTY,POINT (-72.798506968 41.666833)
21000027,2021,10/18/2021,Cheshire,428 SHARON DR,171220,385000,0.4447,Residential,Single Family,,,,POINT (-72.915176019 41.481902987)
2100008,2021,11/18/2021,Hampton,72 OLD CANTERBURY RD,151820,222000,0.6838,Residential,Single Family,,,,POINT (-72.039534017 41.743462999)
210965,2021,06/30/2022,New Britain,249 COUNTRY CLUB RD,118020,236800,0.4983,Residential,Single Family,,,,POINT (-72.785087038 41.707715984)
210228,2021,04/20/2022,New Canaan,681 OLD STAMFORD RD,1031450,1550000,0.6654,Residential,Single Family,,,,POINT (-73.503586964 41.116265008)
210348,2021,12/27/2021,Bristol,233 CAMP ST,185710,330000,0.5627,Residential,Three Family,,,,POINT (-72.890804965 41.684662021)
210050,2021,12/22/2021,Litchfield,119 BUELL RD,790,349000,0.00226361,Vacant Land,,28 - Use Assessment,CODED AS 712-490 TILLABLE C,,POINT (-73.149927136 41.743415909)
210392,2021,12/16/2021,Danbury,18-30 SHELTER ROCK RD,3892800,3700000,1.0521,Commercial,,25 - Other,2 PARCELS SOLD TOGETHER / K15087 & K15088,,POINT (-73.433330019 41.388935988)
21013,2021,10/29/2021,Deep River,391 MAIN ST #206,101780,155000,0.6566,Residential,Condo,,,,POINT (-72.427918973 41.371585993)
210079,2021,12-10-2021,Berlin,20 CONCORD DR,199900,335000,0.5967,Residential,Condo,,,,POINT (-72.723870982 41.636448014)
211390,2021,08/16/2022,Danbury,13 DANA RD,161300,400000,0.4032,Residential,Single Family,,G06029,,POINT (-73.478575029 41.435330995)
21000001,2021,10-01-2021,Granby,128 OLD STAGECOACH RD,159390,365000,0.4366,Residential,Single Family,,,,POINT (-72.785762033 41.982532983)
210378,2021,09/19/2022,Bloomfield,1077 BLUE HILLS AVE,35980,60000,0.5996,Residential,Condo,25 - Other,NEVER LISTED,,POINT (-72.696801602 41.826560286)
210700,2021,04-11-2022,New Britain,87 PENNSYLVANIA AVE,114170,225000,0.5074,Residential,Two Family,,,,POINT (-72.810988041 41.662977995)
210642,2021,12/28/2021,Bridgeport,127 CALHOUN AVE,111250,135000,0.824,Residential,Single Family,,,,POINT (-73.199248022 41.183018988)
210420,2021,02-01-2022,Hamden,97 URSINI DR,175840,375000,0.4689,Residential,Single Family,,,,POINT (-72.938128017 41.362977988)
210589,2021,03-08-2022,New Britain,70-2M GROVE HILL ST,29190,40000,0.7297,Residential,Condo,,,,POINT (-72.791955002 41.667763014)
21141,2021,05-02-2022,East Haddam,43 ORIOLE RD,182350,280000,0.6512,Residential,Single Family,,,,POINT (-72.367611012 41.472783015)
210222,2021,12-02-2021,Hamden,285 JOYCE RD,255010,395000,0.6455,Residential,Single Family,,,,POINT (-72.942230037 41.417346993)
210196,2021,09/13/2022,Canton,27 OLD MILL DRIVE,237660,450000,0.5281,Residential,Single Family,,,,POINT (-72.949315008 41.853628993)
210016,2021,12-03-2021,Goshen,73 SHARON TPK,118170,249900,0.4728,Residential,Single Family,,,,POINT (-73.232128971 41.830956993)
210253,2021,12-01-2021,Bristol,18 TOPVIEW TERRACE,118650,270000,0.439444444,Residential,Single Family,,,,POINT (-72.916209005 41.680737991)
21039,2021,08/31/2022,Franklin,POND RD,8980,25000,0.3592,Vacant Land,,17 - Two Towns,,,POINT (-72.13456899 41.633652738)
